 Gesture Accuracies 
call Accuracy: 100.00% (10/10)
dislike Accuracy: 100.00% (10/10)
fist Accuracy: 100.00% (10/10)
four Accuracy: 100.00% (10/10)
like Accuracy: 100.00% (10/10)
mute Accuracy: 100.00% (10/10)
ok Accuracy: 100.00% (10/10)
one Accuracy: 100.00% (10/10)
palm Accuracy: 50.00% (5/10)
peace Accuracy: 70.00% (7/10)
rock Accuracy: 100.00% (10/10)
stop Accuracy: 100.00% (10/10)
three Accuracy: 100.00% (10/10)
three2 Accuracy: 60.00% (6/10)
two_up Accuracy: 70.00% (7/10)

Overall Accuracy: 90.00% (135/150)

 Prediction Log 

 CALL 
call\WIN_20250812_16_19_47_Pro.jpg → Predicted: call | Correct: True
call\WIN_20250812_16_19_49_Pro.jpg → Predicted: call | Correct: True
call\WIN_20250812_16_19_51_Pro.jpg → Predicted: call | Correct: True
call\WIN_20250812_16_19_53_Pro.jpg → Predicted: call | Correct: True
call\WIN_20250812_16_19_55_Pro.jpg → Predicted: call | Correct: True
call\WIN_20250812_16_21_42_Pro.jpg → Predicted: call | Correct: True
call\WIN_20250812_16_21_43_Pro.jpg → Predicted: call | Correct: True
call\WIN_20250812_16_21_44_Pro.jpg → Predicted: call | Correct: True
call\WIN_20250812_16_21_48_Pro.jpg → Predicted: call | Correct: True
call\WIN_20250812_16_21_51_Pro.jpg → Predicted: call | Correct: True

 DISLIKE 
dislike\WIN_20250813_16_07_39_Pro.jpg → Predicted: dislike | Correct: True
dislike\WIN_20250813_16_07_41_Pro.jpg → Predicted: dislike | Correct: True
dislike\WIN_20250813_16_07_43_Pro.jpg → Predicted: dislike | Correct: True
dislike\WIN_20250813_16_07_45_Pro.jpg → Predicted: dislike | Correct: True
dislike\WIN_20250813_16_07_47_Pro.jpg → Predicted: dislike | Correct: True
dislike\WIN_20250813_16_08_06_Pro.jpg → Predicted: dislike | Correct: True
dislike\WIN_20250813_16_08_08_Pro.jpg → Predicted: dislike | Correct: True
dislike\WIN_20250813_16_08_09_Pro.jpg → Predicted: dislike | Correct: True
dislike\WIN_20250813_16_08_11_Pro.jpg → Predicted: dislike | Correct: True
dislike\WIN_20250813_16_08_13_Pro.jpg → Predicted: dislike | Correct: True

 FIST 
fist\WIN_20250813_16_11_37_Pro.jpg → Predicted: fist | Correct: True
fist\WIN_20250813_16_11_38_Pro.jpg → Predicted: fist | Correct: True
fist\WIN_20250813_16_11_41_Pro.jpg → Predicted: fist | Correct: True
fist\WIN_20250813_16_11_44_Pro.jpg → Predicted: fist | Correct: True
fist\WIN_20250813_16_11_46_Pro.jpg → Predicted: fist | Correct: True
fist\WIN_20250813_16_12_08_Pro.jpg → Predicted: fist | Correct: True
fist\WIN_20250813_16_12_09_Pro.jpg → Predicted: fist | Correct: True
fist\WIN_20250813_16_12_11_Pro.jpg → Predicted: fist | Correct: True
fist\WIN_20250813_16_12_14_Pro.jpg → Predicted: fist | Correct: True
fist\WIN_20250813_16_12_17_Pro.jpg → Predicted: fist | Correct: True

 FOUR 
four\WIN_20250813_16_16_18_Pro.jpg → Predicted: four | Correct: True
four\WIN_20250813_16_16_19_Pro.jpg → Predicted: four | Correct: True
four\WIN_20250813_16_16_22_Pro.jpg → Predicted: four | Correct: True
four\WIN_20250813_16_16_23_Pro.jpg → Predicted: four | Correct: True
four\WIN_20250813_16_16_25_Pro.jpg → Predicted: four | Correct: True
four\WIN_20250813_16_16_28_Pro.jpg → Predicted: four | Correct: True
four\WIN_20250813_16_16_30_Pro.jpg → Predicted: four | Correct: True
four\WIN_20250813_16_16_32_Pro.jpg → Predicted: four | Correct: True
